,characteristics
0,authors
1,author full names
2,author(s) id
3,title
4,year
5,source title
6,volume
7,issue
8,art. no.
9,page start
10,page end
11,page count
12,cited by
13,doi
14,link
15,affiliations
16,authors with affiliations
17,abstract
18,author keywords
19,index keywords
20,molecular sequence numbers
21,chemicals/cas
22,tradenames
23,manufacturers
24,funding details
25,funding texts
26,references
27,correspondence address
28,editors
29,publisher
30,sponsors
31,conference name
32,conference date
33,conference location
34,conference code
35,issn
36,isbn
37,coden
38,pubmed id
39,language of original document
40,abbreviated source title
41,document type
42,publication stage
43,open access
44,source
45,eid
46,query
47,search_engine
