paper_id,title,authors,year,venue,solution_name,query
bai,Clear Up Confusion: Advancing Cross-Domain Few-Shot Relation Extraction through Relation-Aware Prompt Learning,Bai G.; Lu C.; Guo D.; Li S.; Liu Y.; Zhang Z.; Dong G.; Liu R.; Sun Y.,2024.0,"Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL 2024",ClearRE,q1
chen,DiffFSRE: Diffusion-Enhanced Prototypical Network for Few-Shot Relation Extraction,Chen Y.; Shi B.,2024.0,Entropy,DiffFSRE,q1
chen2,KnowPrompt: Knowledge-aware Prompt-tuning with Synergistic Optimization for Relation Extraction,Chen X.; Zhang N.; Xie X.; Deng S.; Yao Y.; Tan C.; Huang F.; Si L.; Chen H.,2022.0,WWW 2022 - Proceedings of the ACM Web Conference 2022,KnowPrompt,q1
chen3,PTCAS: Prompt tuning with continuous answer search for relation extraction,Chen Y.; Shi B.; Xu K.,2024.0,Information Sciences,PTCAS,q1
chia,RelationPrompt: Leveraging Prompts to Generate Synthetic Data for Zero-Shot Relation Triplet Extraction,Chia Y.K.; Bing L.; Poria S.; Si L.,2022.0,Proceedings of the Annual Meeting of the Association for Computational Linguistics,RelationPrompt,q1
gao,Fine-Grained Relation Extraction for Drug Instructions Using Contrastive Entity Enhancement,Gao F.; Song X.; Gu J.; Zhang L.; Liu Y.; Zhang X.; Liu Y.; Jing S.,2023.0,IEEE Access,CEE (Contrastive Entity Enhancement),q3
guo,KBPT: knowledge-based prompt tuning for zero-shot relation triplet extraction,Guo Q.; Guo Y.; Zhao J.,2024.0,PeerJ Computer Science,KBPT (Knowledge-Based Prompt Tuning),q17
halike,Zero-Shot Relation Triple Extraction with Prompts for Low-Resource Languages,Halike A.; Wumaier A.; Yibulayin T.,2023.0,Applied Sciences (Switzerland),Zero-Shot-Prompt-RE for Uyghur,q1
han,A Zero-Shot Framework for Low-Resource Relation Extraction via Distant Supervision and Large Language Models,Han P.; Liang G.; Wang Y.,2025.0,Electronics (Switzerland),LoRE,q1
haoran,Improved Chinese Few-Shot relation extraction using Large Language Model for Data Augmentation and Prototypical Network,Haoran X.; Lou K.; Chan S.,2024.0,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",CFSRE model (LLM-based Chinese Few-Shot Relation Extraction),q3
hsu,Prompt-Learning for Cross-Lingual Relation Extraction,Hsu C.; Zan C.; Ding L.; Wang L.; Wang X.; Liu W.; Lin F.; Hu W.,2023.0,Proceedings of the International Joint Conference on Neural Networks,Prompt‑XRE,q1
